,Product Name,Product Descriptions
10,"(4 pack) Barilla Penne Pasta, 16 oz","At Barilla, we're passionate about pasta. After all, we have been pasta makers since 1877. As an Italian family-owned food company, Barilla pasta is synonymous with high quality and ""al dente"" perfection every time. Our Penne is made from the finest durum wheat and is non-GMO verified, peanut-free and suitable for a vegan or vegetarian diet. Barilla Pasta Penne. nongmoproject.org. Italy's #1 Brand Of PastaÂ®. Enriched macaroni product. Simply healthy. Simply delicious. Putting a fresh, delicious dinner on the table each night doesn't have to be complicated. The Barilla lineup of pasta shapes and sauces can help you make a satisfying meal in as little as 15 minutes. Paperboard carton, recycle with paper. Call 1-800-922-7455 with any comments or questions. Penne with roasted garlic sauce & zucchini. For this recipe & others visit us at barilla.com. "
11,"Great Value, Frosted Shredded Wheat Breakfast Cereal, 24 oz","Every bite of Great Value Frosted Shredded Wheat Cereal is loaded with nutrition and flavor. This bite-sized shredded wheat cereal offers 10 essential vitamins and minerals in each serving. Our cereal is naturally high in dietary fiber and iron, and low in cholesterol and fat, making it a perfect choice for any healthy lifestyle. The whole family will be excited to dig into a healthy breakfast that not only tastes great but will sustain them through their morning and keep them satisfied until lunchtime. Add bananas, blueberries, and strawberries for extra nutrients and yummy flavors. Enjoy a satisfying bowl of Great Value Frosted Shredded Wheat Cereal for any meal! Great Value products provide families with affordable, high-quality grocery and household consumable options. With our wide range of product categories spanning grocery and household consumables, we offer you a variety of products for your family's needs. Our products are conveniently available online and in Walmart stores nationwide, allowing you to stock up and save money at the same time. Great Value Frosted Shredded Wheat Cereal, 24 oz:  Bite-sized shredded wheat cereal Great source of vitamins and minerals High in fiber Low in cholesterol and fat Add bananas, blueberries, and strawberries for additional yumminess "
12,"(3 Pack) Great Value Classic Olive Oil, 17 oz","A cooking essential, Great Value Pure Olive Oil adds a bold and rich flavor to your dishes. It is ideal for sauteing vegetables, marinating meats or frying. This Great Value Olive Oil has no artificial flavors or colors and contains 0 grams of trans fat per serving. Great Value Pure Olive Oil, 17 oz:  Great for cooking 0 grams of trans fat per serving No artificial flavors or colors Kosher Olive Oil, 17 oz "
13,"(1 Box) Jiffy Corn Muffin Mix, 8.5 Oz.","This Jiffy Corn Muffin Mix 8.5 oz is easy to use. It's based on a trusted recipe since 1930 and requires only milk and egg to be ready to bake. Use this mix to make muffins, desserts and more. Available in an 8.5 oz box, it contains enough to make at least six to eight Jiffy cornbread muffins, depending on size. These make for a tasty treat at breakfast, a sweet side for lunch or dinner, or an indulgent snack during the day. Try adding some butter to one to bring out even more flavor. This mix for Jiffy corn muffins with corn is packaged in recycled material. Feel good about your environmental impact when using it. A convenient recipe is printed on the box, providing other uses for the cornbread mix. It also features instructions to make the preparation of muffins easier. Jiffy Corn Muffin Mix 8.5 oz is made without trans fat and is available in multiple pack sizes. Jiffy Corn Muffin Mix, 8.5 oz:  Quality and value since 1930 Compare and save Add egg and milk to Jiffy muffin mix Packaged in recycled paperboard Mix can be used to make desserts and other meals Jiffy cornbread muffins for breakfast, sides or snacking Instructions printed on package Convenient recipe on box for other uses for mix Does not contain trans fat Goes well with butter Makes 6 to 8 muffins per box Count options: 1, 12 "
14,"Rold Gold Tiny Pretzel Twists, 16 Oz.","Rold Gold Tiny Twists Original Pretzels offer one-of-a-kind flavor and crispy texture. This baked snack can change how the whole family satisfies their salty cravings. These little treats offer a crunchy and savory flavor that can be enjoyed alone or paired with cheese or hummus dips. You can even try them with peanut butter to take work breaks to a whole new level. These Rold Gold original pretzels come in a 16 oz bag and are offered in both a single or 4-pack option. They don't contain cholesterol or trans fat, and with less than 1g of sugar per 1 oz serving, they make a tasty addition to kids' lunchboxes. Rold Gold Tiny Twists Original Pretzels, 16 oz:   Rold Gold Tiny Twists are ideal for sharing with family and friends Pair with Frito-Lay dip (sold separately) Rold Gold pretzels are guaranteed fresh Contains wheat ingredients "
15,"(3 pack) SwansonÂ Chicken Broth, 32 oz. Carton","Swanson Chicken Broth packs the perfectly balanced flavors of farm-raised chicken, vegetables picked at the peak of freshness and high-quality seasonings into a convenient resealable carton. Swanson Broth is carefully crafted for homemade flavor at its best. Each broth batch starts with real chicken and bones that are gently simmered for 12 hours and then uniquely clarified, creating a premium double stock with delicious, richer flavor. And, just like homemade, our chicken broth uses only 100% natural ingredients, meaning it's made with no MSG added, no artificial ingredients, it's Non-GMO and gluten-free. Get passionate in the kitchen with our 100% natural chicken broth product and create sensational chicken soup and other great recipes by keeping our trustworthy broth on hand. For recipe ideas, visit SwansonBroth.com. Get cooking! We believe in inspiring creativity through cooking. To this end, weâve built a line of broths and stocks that serve as a perfect backbone to your culinary canvas. Chefs of all levels know that a dish is only as good as what goes into it. The best ingredients make the best dishes. Swanson Broth & Stock is made from simple, high-quality ingredients you can recognize. Our ingredients are sourced from farms we trust, and we select the finest vegetables, picked at the peak of freshness. Use our trustworthy broths and stocks to add flavor to soups, rice, potatoes, vegetables and stuffing. WithÂ Swanson, you can be sure that no matter why you cook, what you cook will be delicious. Swanson Broth & Stock - it's why you cook and stay confident in the kitchen! RICH DOUBLE STOCK: Only Swanson Broth has a rich double stock, simmered for 12 hours that's perfect to use as a flavorful recipe base QUALITY INGREDIENTS: Swanson chicken broth is crafted from farm-sourced chicken and high-quality vegetables that are picked at the peak of freshness 100% NATURAL CHICKEN BROTH: No MSG added, Non-GMO, no artificial ingredients, gluten free  PERFECT FOR EVERYDAY & HOLIDAY COOKING: With a unique balance of flavor, enhance your next dish of mashed potatoes, stuffing, or soup with our chicken broth This Swanson broth ships as a 32 ounce resealable carton Can flavor other foods Use to moisten leftovers before reheating Contains vital nutrients "
16,"Tostitos Scoops! Tortilla Chips, Party Size, 14.5 oz Bag",The TOSTITOS Tortilla Chips you love in a scoop-able shape that lets you dip a little or scoop a lot - even in the heartiest of dips. It's like a mini chip bowl in every bite. Grab a bag and dig in. Scoops! are perfect for dipping Party size bag is great for sharing at your next get together 
17,"(8 Pack) Hunt's Traditional Pasta Sauce, 24 Oz.","Hunt's Traditional PastaSauce is perfect for any Pasta lasagna, or spaghetti. Containing just 60 calories per serving, Hunt's Traditional PastaSauce lets you enjoy a warm, hearty meal. Made from vine-ripened tomatoes and a special blend of herbs and spices, Hunt's PastaSauce is carefully simmered into a thick, rich, flavorful sauce that's sure to make your meals special. Hunt's Traditional PastaSauce is perfect for any Pasta lasagna, or spaghetti Hunt's PastaSauce is made with all-natural, vine-ripened tomatoes Carefully simmered into a thick, rich, flavorful sauce Hunt's PastaSauce adds great flavor to all Pastadishes 24 oz. can of Hunt's Traditional PastaSauce "
18,"(8 Count) Gatorade Thirst Quencher Sports Drink, Cool Blue, 20 fl oz","The proven classic. With a legacy over 50 years in the making, it's the most scientifically researched and game-tested way to replace electrolytes lost in sweat. Gatorade Thirst Quencher is specifically made to help keep you hydrated, which is why it's trusted by some of the world's best athletes. Don't count the days. Make the days count. Grab your home workout equipment then refuel and replenish during your at-home workout with the carbs and electrolytes from Gatorade Thirst Quencher. When you sweat, you lose more than water. Gatorade Thirst Quencher contains critical electrolytes to help replace what's lost in sweat. Top off your fuel stores with carbohydrate energy, your body's preferred source of fuel. Tested in the lab and used by the pros. Gatorade bottles are recyclable "
19,"(2 pack) Great Value Pure Granulated Sugar, 10 lbs","Great Value Pure Granulated Sugar is an essential addition to your kitchen pantry. This granulated sugar has a wonderful rich flavor, contains only 30 calories per serving, and can be added to a variety of food and beverages. Try adding some into your morning coffee or tea, sprinkling onto your cereal or oatmeal, dusting on top of your favorite desserts, or incorporating into your favorite baking recipes. The convenient 10-pound bag is the perfect size to fulfill all your baking needs and fit nicely into your pantry. Reach for Great Value Pure Granulated Sugar and add a touch of sweetness to your day! Great Value products provide families with affordable, high-quality grocery and household consumable options. With our wide range of product categories spanning grocery and household consumables, we offer you a variety of products for your family's needs. Our products are conveniently available online and in Walmart stores nationwide, allowing you to stock up and save money at the same time. Great Value Pure Granulated Sugar, 10 lb:  Essential addition to your kitchen pantry 30 calories per serving Suitable for beverages, baking, and sprinkling To retain freshness and avoid clumping, granulated sugar is best stored in a closed container, away from moisture "
20,"Hidden Valley Original Ranch Salad Dressing & Topping, Gluten Free, Keto-Friendly - 36 Ounce Bottle","Put together a quick, easy dinner anytime when youre stocked up with this two pack of Hidden Valley Original Ranch Dressing. Our Original Ranch Dressing makes it simple to get your daily dose of veggies. For delicious side dishes, mix with pasta or potatoes. Or toss with mixed greens and chopped tomatoes for an easy meal. Hidden Valley ranch dressing also makes a tasty addition to sandwiches, wraps and burgers, or as a dip with a vegetable tray, chips, or chicken strips. This gluten-free creamy ranch dressing is as versatile as it is tasty. RANCH DRESSING: Add Original Ranch dressing to more than just salads - add it to chicken or pasta as a flavorful topping for an easy delicious meal GLUTEN FREE & KETO-FRIENDLY: Perfect for school lunches or backyard BBQs this classic gluten free and keto-friendly salad dressing is a crowd pleaser as America's #1 selling Ranch dressing SALAD DRESSING: Get your daily dose of veggies in a delicious way by adding Ranch as a salad topping or use as a classic veggie dip CONDIMENT: Use as a topper on burgers sandwiches and wraps to refresh your meal prep or weeknight routine or as a dip with chips pizza and chicken strips DINNER MADE EASY: Add instant flavor to your favorite salad, meal or side dish with a touch of creamy Hidden Valley Original Ranch Dressing "
21,"(4 Pack) McCormick Original Taco Seasoning Mix, 1 Oz","Turn dinner into fun-filled fiestas with these family-favorite tacos. This signature blend of McCormick spices is from America's favorite Herb and Spice brand with no artificial flavors or MSG.Turn dinner into fun-filled fiestas with McCormick Taco Seasoning! Sprinkle our signature blend of herbs and spices into your favorite taco ingredients to create hearty meal your family will request again and again. With this expertly blended seasoning, it's easier than ever to put together a homemade meal any night of the week. Made with McCormick herbs and spices, you can use our Taco Seasoning blend knowing that you are you're giving your family the very best."
22,"CHIPS AHOY! Original Chocolate Chip Cookies, Family Size, 18.2 oz","CHIPS AHOY! Original Chocolate Chip Cookies are the CHIPS AHOY! cookies you know and love, baked to have the perfect amount of crunch. These crispy chocolate chip cookies are loaded with lots of real chocolate chips. Enjoy the comforting taste of these classic cookies that are sure to become a household favorite. Make lunches at school or work more exciting by including CHIPS AHOY! chocolate chip cookies, or grab a pack to prep for a party or gathering. Regardless of the occasion these cookies make a simple treat or dessert. The lift tab makes this 18.2 ounce package of bulk cookies easy to open and close for convenient storage. One 18.2 oz, family size package of CHIPS AHOY! Original Chocolate Chip Cookies Snack cookies loaded with real chocolate chips Baked to have the perfect amount of crunch Enjoy these CHIPS AHOY! cookies as a treat at school, work or home Perfect for sharing with friends and family or enjoying on your own Enjoy these Chips Ahoy cookies at school, work or home Perfect for sharing with friends and family or enjoying on your own "
23,"(6 Pack) Knorr Chicken Rice Side Dish, 5.6 oz","Treat your taste buds with Knorr Rice Sides Chicken Rice (5.6oz). Our rice & pasta blend expertly combines onions, carrots, garlic and parsley beautifully with the mouth-watering, chicken-flavored sauce . Our deliciously seasoned Rice Sides are great as part of a delicious main dish or as a standalone side dish. Make Knorr Rice Sides the foundation of a crowd-pleasing dinner. Your family is sure to love the mouth-watering, chicken-flavor of Knorr Rice Sides Chicken Rice (5.6oz). On top of tasting delicious, our rice dishes are quick and easy to prepare. Knorr Rice Sides cook in just seven minutes on the stovetop or microwave. Knorr Rice Sides have no artificial flavors making it an excellent choice for creating a family-favorite meal. Use Knorr's easy rice side dishes to create a mouth-watering main dish. Simply prepare Knorr Rice Sides and add your favorite meat and vegetables to make a dinner your family is sure to love. You can find great recipes from Knorr like our chef-inspired Cheesy Chicken Monterey recipe -- simply add chicken, green chilies, and Monterey Jack cheese to turn a side dish into a cheesy entree. Discover more quick and delicious dinner ideas at Knorr.com. There are hundreds of recipes to help you find dinner inspiration. Knorr also has Pasta Sides, Fiesta Sides, Italian Sides and more. Knorr offers more than 40 varieties of rice and pasta sides so you can be sure to find flavors your family will love. Knorr believes that good food matters and everyday meals can be just as magical as special occasions. Knorr products owe their taste and flavors to the culinary skills and passion of our chefs. Knorr sources high-quality ingredients to create delicious side dishes, bouillons, sauces, gravies, soups   Knorr Rice Sides Chicken Rice (5.6oz) is a rice & pasta blend side dish that enhances meals with amazing flavor. Chicken Rice Sides expertly combines onions, carrots, garlic and parsley beautifully with the mouth-watering, chicken-flavored sauce No artificial flavors Quick and easy to prepare - Cooks in 7 minutes. Stovetop or microwave cooking. Perfect as an ingredient in a delicious Knorr recipe or as a side dish.  "
24,"Arm & Hammer Baking Soda, 1 lb.","Discover the secret of ARM & HAMMER Baking Soda, the simple solution for a clean and fresh home. Baking soda is the most versatile porduct in your home and ARM & HAMMER is the most recognized brand. You know that Baking soda is great for cooking and baking. Now, discover more than 100 ways to save time and money with Baking Soda, from cleaning your carpets to getting rid of pet odors, making laundry sparkle, creating inexpensive craft for kids, and even enjoying a spa-worthy pedicure. Whether you need a quick solution for mopping dirty kitchen floors, a non-abrasive way to scrub bathroom countertops, or a chemical-free way to clean toys, furniture, pots and pans, we've got tips to make every room in your home shine and smell fresh. Put ARM & HAMMER to work all around your home! With its natural pure and gentle cleaning power, there isn't a place in your home where dirt and odors are safe. America's #1 trusted Baking Soda brand Versatile, effective and affordable solution for over 170 years Use for baking, cleaning, deodorizing and more Free of harsh chemicals and gentle enough to use on many surfaces Hundreds of uses like: Fresh Box for Baking "
25,"Welch's Mixed Fruit Snacks Pouches, 0.9 Oz., 10 Count","The Welch's name has been built on the highest quality fruit proudly grown on family farms. In this tradition wholesome goodness come Welch's fruit snacks, made with real fruit and fruit juices. Welch's fruit snacks are sure to delight your family. Please try all of our delicious Welch's fruit snacks varieties, and thank you for the trust you place in Welch's.We make the brands you loveWelch's Fruit Snacks Mixed Fruit - 10 CT.Family farmer owned.Natural & artificial flavors.Now with more fruit.100% vitamin C DV per serving.25% vitamins A & E.Fat free.Gluten free.No preservatives.Per pouch: 80 calories.0g sat fat, 0% DV.10mg sodium, 0% DV.11g sugars.The Welch's name has been built on the highest quality fruit, proudly grown on family farms.In this tradition of goodness come Welch's fruit snacks, now made with even more real fruit.Welch's fruit snacks are sure to delight your family.Please try all of our delicious varieties, and thank you for the trust you place in Welch's.100% Recycled Paperboard.Promotion in Motion Inc.Makers of America's Favorite Fruit Snacks.We Make The Brands You Love.Comments or questions?Call 1-800-340-6870.Weekdays 9am - 4pm EST.www.welchsfruitsnacks.com.2015 The Promotion in Motion Companies, Inc.The Welch's name and banner are registered trademarks of Welch Foods Inc., A cooperative.All rights reserved."
26,"Great Value Applesauce Cups, Unsweetened, 3.2 oz, 6 Count, 3 Pack","Enjoy your healthy choices when you savor the sweet flavor of juicy apples in Great Value Unsweetened Applesauce. With only 60 calories per serving, this applesauce is an excellent snack choice that makes it easy to stick to a healthy diet. Whether you pack it in school lunches, keep some at your desk to tide you over until break time, or enjoy it by the spoonful as a midnight snack, it's a reliable, tasty treat for the whole family. Heat it up in a mug with a dash of cinnamon for a healthy -- yet comforting -- replacement for apple pie. Mix it into smoothies for extra flavor that won't pack in more sugar. Try our versatile Great Value Unsweetened Applesauce and keep your health regimen on track without sacrificing flavor. Great Value products provide families with affordable, high quality grocery and household consumable options. With our wide range of product categories spanning grocery and household consumables, we offer you a variety of products for your family's needs. Our products are conveniently available online and in Walmart stores nationwide, allowing you to stock up and save money at the same time. Great Value Applesauce Cups, Unsweetened, 3.2 oz, 6 Count, 3 Pack:  Includes 3 packs of unsweetened applesauce with 6 cups in each pack Only 60 calories per serving Perfect for packing in school lunches or keeping at the office for a healthy snack Plenty for the whole family "
27,"(2 pack) Duncan Hines Classic White Cake Mix, 15.25 oz Box","For each purchase of participating Birds Eye products from April 2 - April 30, 2018, Pinnacle Foods Group will donate the monetary equivalent of at least 1 meal to Feeding AmericaÃÂ®. Guaranteed minimum donation: $100,000. Maximum donation: $200,000. $1 helps provide at least 10 meals secured by Feeding America on behalf of local food banks. Visit Walmart.com/FightHunger for details. WiltonÃÂÃÂ® as recommended in Wilton Method classes.Don't just say it. Bake it.ÃÂ¢ÃÂÃÂ¢Deliciously Moist Cake Mix"
28,"Ruffles Original Potato Chips, Party Size, 13.5 oz Bag","The salted classic. A thicker, sturdier potato chip with Ruffles trademarked ridges. Ruffles is famous for two things: the ridges on our chips, the fact that we're the official chip of the NBA,. and the best chip flavors the game has ever tasted. Okay, so maybe it's three things. Party size bag is perfect for sharing Three ingredients: potatoes, oil and salt. The thick ridges of Ruffles Potato Chips help hold more great potato chip flavor and stand up to the thickest dips Original flavor "
29,"Rice-A- Roni Chicken, 6.9 oz Box","Our Rice-A-Roni products combine rice, pasta and the perfect mix of seasonings to create delicious, family pleasing side dishes and main dish recipes. Your family will fly to the table for the great taste of rice and vermicelli blended with onions, parsley, garlic and chicken broth! Delicious chicken flavor Blend of rice, vermicelli, chicken broth and herbs Goes great with chicken tenders or thighs Perfect for the whole family "
30,"Great Value Iodized Salt, 26 oz, 2 Pack","Enhance every meal in a snap with Great Value Iodized Salt. With no calories and no saturated fat, this salt supplements your diet by providing 25% of your daily value of sodium with each serving. It also supplies iodide, which provides nutritional support to various systems of the body. One of the most commonly used seasonings in the world, salt is prized for its flavor-enhancing qualities and health benefits. Keep this convenient container of salt on hand in your pantry for cooking and baking, and fill up your tabletop salt shakers in seconds with the hassle-free, easy-pour spout. Add salt to taste when preparing your favorite savory dishes, and add it to chocolate or caramel to put a twist on sweet treats, too. Reap all the benefits you deserve, enjoy stronger flavors, and maintain optimal health with Great Value Iodized Salt. Great Value products provide families with affordable, high quality grocery and household consumable options. With our wide range of product categories spanning grocery and household consumables, we offer you a variety of products for your family's needs. Our products are conveniently available online and in Walmart stores nationwide, allowing you to stock up and save money at the same time. Great Value Iodized Salt, 26 oz, 2 Pack:  Includes 2, 26 oz container with popup spout Good source of iodide, a necessary nutrient Keep this convenient container of salt on hand in your pantry for cooking and baking, and fill up your tabletop salt shakers in seconds with the hassle-free, easy-pour spout Add salt to taste when preparing your favorite savory dishes, and add it to chocolate or caramel to put a twist on sweet treats "
31,"Ocean'S Halo Seaweed Sea Salt Snack , .14 Oz","OCEAN'S HALO SEAWEED, SEA SALT SNACK IS ORGANIC AND LIGHTLY ROASTED. THIS SNACK IS MADE WITH PURE AND NATURAL SEA SALT AND PACKED WITH VITAMINS, LIKE B12, AND MINERALS, LIKE IODINE. THIS SAVORY SNACK IS GLUTEN-FREE, VEGAN AND NON-GMO. EACH POUCH OF OCEAN'S HALO SEAWEED, SEA SALT SNACK CONTAINS 0.14 OZ. OF PRODUCT.Ocean'S Halo Seaweed Sea Salt Snack , .14 Oz"
32,"(12 Pack) Kraft Mayo Real, 30 fl oz Jar","Kraft Real Mayo adds light flavor and creamy texture to all types of dishes. Made with cage free eggs, tangy vinegar, lemon juice and the perfect blend of seasonings, this family favorite mayonnaise delivers delicious flavor in every bite. This mayo is perfect for adding savory flavor to sandwiches, salads and more. Youll feel good about adding this real mayonnaise to all your favorite appetizers and entrees. You can also try adding this creamy Kraft mayo on sandwiches and hamburgers. This real mayonnaise is packaged in a resealable 30 ounce jar to help lock in flavor. Refrigerate after opening. Twelve 30 oz. jars of Kraft Real Mayo Kraft Real Mayo is made with quality ingredients Real mayo has a light taste and creamy texture Mayonnaise has a light, creamy texture for easy spreading and dipping Made with cage free eggs Adds savory flavor to sandwiches, salads and more Packaged in a resealable jar "
33,"CHIPS AHOY! Chewy Chocolate Chip Cookies, 19.5 oz","CHIPS AHOY! Chewy Chocolate Chip Cookies are the CHIPS AHOY! cookies you know and love, but baked to be perfectly soft and chewy. These soft cookies are baked to perfection for maximum chewy goodness. Enjoy the comforting taste of these cookies that are sure to become a household favorite treat. Make lunches at school or work more exciting by including CHIPS AHOY! chocolate chip cookies, or serve as birthday cookies for a last minute party. Regardless of the occasion, these cookies make a simply delicious treat or dessert. The lift tab makes this package of soft baked cookies easy to open and close for convenient storage. One 19.5 oz package of CHIPS AHOY! Chewy Chocolate Chip Cookies Soft, chewy cookies made with real chocolate chips Baked to be perfectly soft and chewy Treat yourself to these Chewy CHIPS AHOY! cookies at school, work or home Perfect for sharing with friends and family or enjoying on your own "
